p1_xyzE,pmup_xyzE,pmum_xyzE,p3_xyzE
"[0.1869744223703474, 1.2486577116165156, 13.347715487562173, 13.44008811720709]","[0.0431665612953821, -0.719758576664346, 8.850251424622051, 8.880204369984094]","[-1.5820652883700788, -0.5022002319092698, 2.1681983719930145, 2.732651357724286]","[1.3519243047043485, -0.02669890304290068, 4.6652543444598855, 4.947056155084543]"
"[-0.13064305939334153, -0.2701835523001831, 3.8285141772904154, 3.9532191834755257]","[-0.8350124662143172, -0.3635206835602275, 4.3217020056915905, 4.417880141546636]","[1.0514651919549802, 1.6519716744603086, 2.4162923750720844, 3.111948251161579]","[-0.08580966634732107, -1.0182674385998962, 18.46491107058302, 18.516952423816257]"
"[0.19338841298412293, -0.3295897017028699, 3.5633428399190508, 3.7045640756412177]","[-0.7817079790770193, 1.6094192894697605, 7.16793465029684, 7.388622914844154]","[-1.7580196807539235, -1.353107941119905, 8.834152563625295, 9.109058646677562]","[2.3463392468468034, 0.07327835335301669, 9.465989574795984, 9.797754362837129]"
"[-0.8579907673188821, -0.000269261810322178, 2.484682911529223, 2.7910843316058545]","[0.3980822276920791, -1.7551109665362523, 8.033951785956955, 8.233737236328654]","[-1.0832398539128658, 0.6807748484390788, 2.3626987004779436, 2.688935056407384]","[1.5431483935396704, 1.0746053799074988, 16.150086230672983, 16.2862433756581]"
"[-1.767006464934913, -0.0001387125552086506, 8.831253376490553, 9.055037405340894]","[0.9347529693592884, 1.1746980218948675, 2.6654459107240527, 3.0609547648289883]","[1.811172629756607, -0.8844885154811997, 12.496575732060206, 12.658524197902285]","[-0.9789191341809776, -0.29007079385845874, 5.038144609362317, 5.225483631927851]"
"[1.4614985185771536, -0.10393469707426267, 9.676454897528858, 9.831628251258962]","[0.6317802568161274, -1.7706646819216394, 11.082549721731647, 11.241373210436771]","[-0.25342453755856165, 0.7250505977704593, 0.9153593358331227, 1.1995702114611415]","[-1.839854237834715, 1.1495487812254297, 7.35705567354349, 7.727428326843134]"
"[-0.48160082388344216, -0.2953031466712237, 8.109481500160182, 8.183103802923643]","[0.07955792386181655, -0.7200307469281436, 0.554855826691136, 0.9185871440142233]","[-1.9209305602887343, 0.9916565753451285, 10.196239540812853, 10.423426565552996]","[2.3229734603103642, 0.023677318254238244, 10.170842760972922, 10.474882487509122]"
"[-1.3267716019236755, 1.383381341819619, 11.65670560471581, 11.850451751792535]","[1.317384658557605, -1.446287765886568, 12.504084423473465, 12.656640214633256]","[-0.12553609718542258, -0.763132998325011, 0.45883088787166726, 0.9054394962989916]","[0.13492304055150028, 0.826039422391947, 4.411798712576185, 4.587468537275233]"
"[-0.5629202225016483, -0.0369015834258194, 7.95891803806963, 8.03386405078246]","[2.986331490387971, -0.00802669618228169, 10.535354737814494, 10.950940747848502]","[-0.579136909219265, 0.7803137135025513, 2.526496752432468, 2.7089921565253734]","[-1.8442743586670685, -0.7353854338944537, 8.010650100320495, 8.306203044843636]"
"[0.5576739100248205, 0.03837713869880986, 1.210813743796467, 1.630612542220713]","[0.7777887599083553, -0.8298138628306451, 2.620557106158267, 2.858676190404621]","[0.4604979494988346, 0.9329848068317154, 17.979770569977397, 18.01015914347402]","[-1.7959606194319988, -0.14154808269987917, 7.220278208705032, 7.500552123900702]"
"[0.49243370936732034, -0.06150642579751421, 5.838849739531505, 5.934542495032516]","[-2.735930775423848, 1.2300500228872568, 17.13724730041172, 17.39812486778817]","[0.45095878883564483, -0.32960188432321513, 0.8805188002026415, 1.0480831082752093]","[1.7925382772208833, -0.8389417127665277, 5.174803788491231, 5.619249528904091]"
"[-1.8913115221793835, 0.42232245889023445, 4.176280979287599, 4.698626682037526]","[2.1668035515467725, 0.6291155907486129, 7.4442392269174995, 7.77937563934664]","[-0.11712769178013369, -0.9447513962378669, 10.756774896340943, 10.799335344380683]","[-0.15836433758724466, -0.10668665340098216, 6.654124526091097, 6.7226623342351814]"
"[-0.14938909309818665, 1.9490937724630266, 4.564621520259434, 5.053455016539713]","[1.1871676066850418, -1.9316238576693834, 17.894721237783312, 18.03809162424941]","[-1.1298057957642862, 0.07636099102731489, 4.274195612409225, 4.422918028089095]","[0.09202728217743134, -0.09383090582096637, 2.2978812581851553, 2.4855353311217963]"
"[0.10149991212109095, -1.9340620164919118, 12.653297735651778, 12.834998872178826]","[-0.6861208361159559, 1.985125812984828, 3.4514658444929034, 4.041691030224385]","[-0.10204755915578612, 0.292894365582486, 9.169425495424253, 9.17527810711043]","[0.6866684831506518, -0.3439581620754044, 3.7572305530681476, 3.9480319904863332]"
"[-0.09446047278496299, -1.4026722471367188, 4.577566542382021, 4.8796395368639285]","[0.4507390124389957, -0.2544407267861065, 9.559692843526298, 9.574277863959967]","[-0.18464230167563325, -0.2729046283104266, -0.1291215257317147, 0.3693314190434025]","[-0.1716362379783919, 1.930017602233237, 15.023281768460507, 15.176751180132705]"
"[-0.6106787934532778, -1.6166735857755963, 8.99348991669171, 9.205964224313362]","[1.1340149003034121, 0.6896781141083783, 4.216019014852148, 4.42126968661143]","[-2.0957126630283316, 0.9815429536825545, 7.408841593870588, 7.762572737947906]","[1.572376556178194, -0.054547482015332716, 8.413069103222675, 8.610193351127313]"
"[1.0550789074499631, 0.3727820392610768, 10.942636387452307, 11.039646887637335]","[-2.5232839829688345, 1.201857733992337, 13.223691447701976, 13.516234800729627]","[0.5143543902716294, -0.5183674070232673, 1.4106887963842467, 1.592002418548339]","[0.9538506852472428, -1.0562723662301468, 3.4544029970985664, 3.852115893084685]"
"[-1.8258205896699133, 0.30597842135791103, 3.942780909103334, 4.45568392765611]","[1.4879234738564717, -0.6823081273824121, 15.394108881133546, 15.481253583024337]","[0.40971510441793346, 0.7245832127806366, 0.9764946860803728, 1.287475352750067]","[-0.07181798860446716, -0.34825350675613487, 8.718035152319931, 8.77558713656956]"
"[-0.9081157813254449, 0.259046628106301, 2.9207575102220447, 3.209822145747025]","[0.32398993047544883, 1.0510453335483325, 11.98968881399915, 12.04049281540102]","[1.7419851600161795, -1.6427806163079248, 11.200951776955273, 11.454506745105839]","[-1.1578593091662113, 0.3326886546532992, 2.920021527460496, 3.2951782937459697]"
"[1.4552937218494906, -0.04233995158676588, 6.531960479707662, 6.757701868446229]","[-0.1438943399427795, 0.7886361636682759, 6.613595211886744, 6.662841572435011]","[-2.3759937091172594, -1.2036558964076804, 5.790274919725319, 6.374369057537053]","[1.0645943272105474, 0.45735968432617, 10.095589017317385, 10.205087501581708]"
"[-0.08282033632861144, 0.2132229590925608, 1.5701774902437067, 1.8434030853955408]","[0.8253799607780035, 1.1976571343286575, 18.347698461199027, 18.405565384608845]","[-0.19367074044889598, -1.4540330558702343, 8.198852291851018, 8.329709658795082]","[-0.5488888840005053, 0.04315296244901981, 0.9146913853431853, 1.421321871200358]"
"[0.6792709109074195, 0.31082235631660843, 2.7123366939031173, 2.9656608360816463]","[-2.390001147252357, 0.8771383902038247, 7.1165310496545455, 7.558945365135151]","[0.17812831394548195, -1.2223695638572265, 4.65647049967881, 4.818692579343135]","[1.532601922399456, 0.03440881733679357, 14.546081385400626, 14.656701219440055]"
"[-1.1850966856801297, 1.259407693390757, 16.06133792460498, 16.181393393861978]","[0.36967193262912285, 0.0966150539220815, -0.036135198929339675, 0.3980718176206164]","[0.01596972404077157, -0.805974714175929, 10.824625345236552, 10.855115280349557]","[0.7994550290102396, -0.5500480331369172, 2.181591557724931, 2.565419508167862]"
"[-0.5638863568629783, 2.1255438757072573, 7.513419562426107, 7.884651701758559]","[1.3144037099890904, -0.9239048279227493, 3.2403201836377065, 3.618300118749957]","[-0.5181983939052577, -1.5855401332653667, 13.762943737151538, 13.864063293804016]","[-0.23231895922084983, 0.3839010854808441, 4.514736145421802, 4.632984885687513]"
"[-0.4502699900675258, -0.46989714848079367, 4.749799411558683, 4.885130007495501]","[-0.2176408919590952, -0.19698062648417777, -0.06988071659351572, 0.31971214017999383]","[-1.634866694550579, 1.274657953506901, 12.40739412766812, 12.579830470226792]","[2.3027775765771983, -0.6077801785419281, 11.944106806003834, 12.215327382097717]"
"[0.7612376195249575, -1.433802962871998, 5.855749370257742, 6.148611931401955]","[-0.5182717360284609, 1.4471695768831414, 1.6150082337291678, 2.2321112392976943]","[0.31548376645595644, -0.31285988479884924, 6.697826932691993, 6.713379219712813]","[-0.558449649952452, 0.2994932707876994, 14.8628350919582, 14.90589760958753]"
"[0.7475916491344752, -0.0188964516184924, 8.160439377956575, 8.248174072910178]","[-0.3349855249388665, 1.1044567294651897, 1.648254743852217, 2.014931086358749]","[-2.1468526944005535, -1.2223820999890984, 9.606175502704271, 9.919322854487012]","[1.7342465702049437, 0.13682182214240152, 9.616550004124036, 9.817571986244051]"
"[-0.8886406316340772, -0.04298662182362554, 2.955818881746032, 3.22625938658335]","[-0.07461928072339197, 1.4830506021529426, 18.372048188047447, 18.43226316442187]","[0.4065241041490876, -1.2791885566829488, 6.751884604799673, 6.884816231410804]","[0.5567358082086029, -0.16087542364623236, 0.9516679540439661, 1.4566612175839877]"
"[1.3157771433773473, -0.6831301668458608, 5.35388403204385, 5.634036287640257]","[-0.7842263397262279, 1.9388327532467682, 7.310745362625183, 7.604751459915864]","[-1.7626264665088163, -0.9765754072896662, 8.226081173358217, 8.469954348767345]","[1.2310756628577024, -0.279127179111243, 8.140709060609854, 8.291257903676527]"
"[0.06232680976962375, -0.6251558293354864, 2.8927972959352264, 3.1053719557441672]","[-0.6507446868579218, 0.1322713807131966, 5.985107511113062, 6.022760156122406]","[1.0478472251265525, 0.6076243362658152, 0.7263851718569801, 1.4163298246120437]","[-0.4594293480382565, -0.11473988764352924, 19.42712964973184, 19.45553806352138]"
"[1.6180722571472048, -0.2829693682715128, 9.720842826808067, 9.903199942554894]","[-1.7810510724372528, -0.3102334621448354, 8.069036260568469, 8.269758008007068]","[1.258015936596196, 0.005594376722535377, 9.055652764042657, 9.143229516404931]","[-1.0950371213061323, 0.587608453693822, 2.185887777217891, 2.6838125330330787]"
"[1.3634004466168315, 0.5319549889342851, 2.4387078121934342, 2.994910186854413]","[0.0984509912417344, 1.0651286595226055, 5.08890123473211, 5.201179774708319]","[-1.814237753496867, -1.6330750377940269, 17.792789840893857, 17.959758535137908]","[0.35238631563828127, 0.035991389337129684, 3.711020740817691, 3.844151503299345]"
"[0.7012288223959104, 0.5019387048910369, 1.6751723763266098, 2.10480905576211]","[-0.39758067090610827, -0.5088179841536863, 16.140745830051603, 16.154002776221397]","[-1.4432956480082089, 0.907589307861464, 4.726372736093544, 5.025592853858763]","[1.139647496518409, -0.9007100285988145, 6.489128686165395, 6.715595314157769]"
"[-0.04331409044509331, -0.3562071830058706, 3.8043878220289438, 3.934778356406139]","[-1.292609289335458, -2.6256459362002578, 8.784458668929332, 9.259737203412035]","[0.33573174358361535, 0.6398761997012459, 4.461297914707147, 4.520674734077662]","[1.0001916361969339, 2.3419769195048787, 11.981275222971687, 12.284809706104165]"
"[0.852532680577266, -0.3750768766515351, 2.9072608182125013, 3.193746146134434]","[-2.3260265587937416, 1.8181323252428037, 10.485116620500058, 10.893339197085401]","[-0.050948561057727826, -1.020377452882757, 4.016818354616194, 4.146053449869031]","[1.524442439274202, -0.4226779957085115, 11.622223835308343, 11.76686120691112]"
"[1.8391687826156318, 1.3905562454850269, 10.336554750476493, 10.632069739161206]","[0.414176369239016, 0.0799046758815265, 7.533474605530807, 7.546014184137563]","[-2.5973586801483215, -1.1357311935517975, 8.412094380134324, 8.877536422375291]","[0.3440135282936694, -0.33472972781475746, 2.749295892495478, 2.9443796543259344]"
"[-0.04310820568546864, -0.23899936570173425, 12.289682544914053, 12.327839649141792]","[-0.8502650284108413, -1.5788220390457066, 6.3158491589547125, 6.566334126523557]","[1.6598810282737582, 0.0796117111883059, 3.7839002806091435, 4.1340788573924705]","[-0.7665077941774493, 1.7382096935591365, 6.64198764415919, 6.971747366942168]"
"[-1.4644099885705537, 0.40656224820929016, 5.134461950836501, 5.436252693433774]","[0.11511329326892383, -0.8805156678650266, 9.020894414026653, 9.065112164426004]","[0.28505481952877704, 2.1320020694252326, 7.983845055064812, 8.269197938761469]","[1.0642418757728545, -1.6580486497694926, 6.892218208709194, 7.229437203378803]"
"[1.7965706999005104, -1.3805399819701911, 8.145261944898534, 8.50642130502337]","[-1.228207828857046, 1.469439771143771, 11.299399357705546, 11.461035606338779]","[0.5388763924305924, -0.17733928173436683, 0.33505657735454575, 0.6672806831893254]","[-1.1072392634740555, 0.08843949256078404, 9.251701748678475, 9.365262405448517]"
"[0.9916656398155923, -0.06652463424073939, 10.108470022856247, 10.20045816701971]","[-1.8033655274055571, 0.05385756835568345, 4.4541332700836005, 4.806817519287947]","[0.6950126516548938, -1.733795244911399, 5.599533962318567, 5.903815100878483]","[0.11668723593506757, 1.7464623107964492, 8.869282373378704, 9.088909212813869]"
"[-0.32828644545924074, -1.313980960924297, 15.790474703853207, 15.87620117266583]","[0.9789590052948458, 2.0840055607090697, 11.143097763358247, 11.378981996990671]","[-0.04923798115253264, -0.4957683091306806, 0.24467399563780012, 0.5650128956330445]","[-0.6014345786830676, -0.2742562906540838, 1.8531731657878732, 2.179803934710473]"
"[0.00026125162432896043, 0.9066986234185574, 7.283452810011702, 7.399401438198422]","[-0.39519035232830785, 0.5623112822990743, 14.179027417522455, 14.196068170891255]","[-1.3479918027151938, -0.4804872311604916, 2.7470579276890956, 3.0992645499439293]","[1.7429209034191728, -0.9885226745571403, 4.821881473413848, 5.305265840966388]"
"[-0.03607622007020423, -0.9157652154739473, 5.069398688020311, 5.236323598443152]","[0.3253298521935016, 1.1657740579874016, 2.8091150381848737, 3.060581575080962]","[-1.591000684788312, -1.4277993197831926, 5.15268737957438, 5.57953805625155]","[1.3017470526650117, 1.1777904772697376, 16.000218522857537, 16.123556770224326]"
"[0.6799484535958545, 1.594687372894326, 12.565024060205683, 12.71870833443191]","[-0.2896147511508784, -1.0456192652006346, 8.827465070438748, 8.894520759131606]","[0.5378421031832762, -0.8724985833827559, 0.5484506353458216, 1.167257305968465]","[-0.9281758056282526, 0.3234304756890663, 7.090479862646855, 7.219513600468016]"
"[0.17884425364292175, 0.16929061651654842, 17.61960576806483, 17.646288741486384]","[0.4557918416731196, 0.9904194526319569, 1.5270346700678323, 1.879275230412175]","[-1.640449625167126, -1.2808310410010681, 5.974897747036069, 6.327888259822824]","[1.0058135298510809, 0.12112097185256199, 3.909881443468384, 4.146547768278621]"
"[-0.42690450159832544, -1.6877013288761058, 7.484628492614837, 7.741485726100702]","[-0.9133932213137794, -0.28460317198153556, 2.0155445431400016, 2.2335777489465976]","[0.5442609464637707, 1.2635216893277366, 17.45553599850669, 17.509985940753186]","[0.7960367764483316, 0.7087828115299104, 2.075710594375627, 2.5149505841995596]"
"[-1.8635289261208137, 1.2483479607710168, 12.08903534835979, 12.331108737235539]","[2.282429534720092, -1.4656143519959934, 14.476706814270244, 14.729009260946295]","[-0.5782705346902787, -0.019509425167075434, 0.6524649776853447, 0.8784370148344536]","[0.15936992609099088, 0.2367758163920607, 1.813212488321712, 2.061444986983691]"
"[-0.01856469915030014, -0.593687056190873, 2.1861297033237648, 2.4520045665702943]","[1.76111711628966, 1.001150259682606, 3.3415713343806672, 3.9091044927795866]","[-0.6578702056311942, -0.5740560956671911, 4.828582252429078, 4.908024428409761]","[-1.084682211508171, 0.16659289217545586, 18.6751363385036, 18.73086651224036]"
"[-0.220226915899049, -0.5979112315756957, 2.0530730130354033, 2.3455193195045396]","[1.0428337324414294, -1.3855361536231876, 5.474700455483513, 5.74375498404572]","[0.9086300722923817, 1.0216624526024214, 14.677586488568151, 14.74150981133527]","[-1.731236888834747, 0.9617849325964591, 6.826059671550079, 7.169215885114506]"
"[-1.036345660969226, -1.6296203889299075, 5.583786981578475, 5.982366282889661]","[-1.3834996029964288, 0.5642176891134761, 3.651210376129823, 3.9465065027086825]","[1.0079746365689497, -0.07609726476083689, 10.689288580635983, 10.737497736192973]","[1.4118706273967037, 1.14149996457727, 9.107133690292816, 9.333629478208673]"
"[-1.0944759866534282, 0.09213226562305961, 1.7654455697561104, 2.281122189950664]","[0.47035647675859965, -0.38083629257470386, 0.42779739653938686, 0.7486292289382552]","[-0.7853323875255172, 0.13934304076021758, 13.539485058241853, 13.563369149928171]","[1.4094518974203634, 0.1493609861914402, 13.298691604099735, 13.406879431182887]"
"[0.5831028489668509, 0.21976582261994126, 0.873899170269218, 1.425608661255362]","[0.8750270141621852, -1.9432267084403745, 12.171480735279186, 12.357099547148833]","[-0.9027381953444804, 0.730560828056781, 5.087284711550403, 5.219222616651189]","[-0.5553916677845554, 0.9929000577636726, 10.898755011538327, 10.998069174944638]"
"[0.19992588945262246, -1.4507618755803449, 5.211347936053365, 5.493922281712992]","[1.2416074335379135, 1.852972759261317, 8.308512281742448, 8.603350336607837]","[-1.3246359381729753, 0.6741902115580658, 12.250915204046262, 12.34120252486588]","[-0.1168973848175614, -1.0764010952390208, 3.260644206795069, 3.5615248568133273]"
"[-0.3989298860109567, -0.8487372736241211, 1.9406953612625033, 2.350777072544611]","[-0.2841222879472938, 1.6482901051587215, 24.845914862556647, 24.90237407789968]","[0.2744103104306316, -0.3629314198541669, 0.5848371514595063, 0.748477348140387]","[0.4086418635276184, -0.43662141168037827, 1.6599722533586085, 1.9983715014154768]"
"[-1.3366994691340415, 0.9704446457981953, 10.245623060706663, 10.420253093347098]","[0.41710951404808794, 1.3403748369328579, 6.375561046561269, 6.5291291396009035]","[1.885697795101264, -1.527411931481051, 8.53504686499475, 8.873952444288912]","[-0.9661078400153242, -0.7834075512500009, 3.8751886563744202, 4.176665322763075]"
"[-0.6805531383577592, 0.6600873312098974, 2.2950957756158497, 2.6545596290507616]","[0.9178496326196645, -1.9852296271288628, 17.90880466247692, 18.04217372359133]","[0.9636252791299278, 0.45645943336819034, 2.1931228179394395, 2.44087693266573]","[-1.2009217733918371, 0.8686828625507784, 6.634396372604896, 6.8623897146921795]"
"[0.14852150035546552, -1.0495955697767312, 14.028682024900794, 14.099928482014418]","[0.6663910863995467, 0.19355153215006926, 0.7173883540664395, 1.0036677434014516]","[-1.7937459703611456, 0.7332677847391963, 12.507363703179333, 12.65703427612073]","[0.9788333836061415, 0.12277625288745908, 1.7779855464905356, 2.2393694984633905]"
"[0.940935514710005, -0.4537437976039232, 2.6834938298215714, 3.02865259767129]","[-1.7387440128723612, 1.3148533586731048, 12.156608806281884, 12.350966414780975]","[-0.004127256983330635, -1.2493694601796526, 12.074534472151536, 12.139459930920301]","[0.8019357551456412, 0.3882598991104725, 2.1167825203823822, 2.480921056627693]"
"[-0.11503977227488757, 0.8110304968494314, 4.348095801831619, 4.522974249751444]","[-2.2359231301017064, 0.9634376776204784, 12.894431754971047, 13.122694018339079]","[1.0422832553199193, 0.21971209270849912, 4.576934415838294, 4.700438282527667]","[1.308679647056688, -1.9941802671784217, 7.21195765599612, 7.6538934493817745]"
"[-1.0289532462621567, 0.04787696739551656, 6.919030775177411, 7.057930164066272]","[-0.8911609462936579, 0.26494082250685475, 2.331864307147974, 2.512591536948321]","[1.6077007362954436, 0.6594192189252127, 18.36679932678484, 18.44911966699552]","[0.3124134562603786, -0.9722370088275741, 1.4137252195269125, 1.9803586319899136]"
"[1.3173733476409377, 0.09866716993275806, 9.754303089326395, 9.887972029285057]","[0.6508987523454823, 0.37847410757480393, 1.3729847975557197, 1.5694466232378117]","[-2.68686868300322, 0.6389196626274783, 14.611083043537148, 14.870184698688117]","[0.7185965830167949, -1.1160609401350379, 3.2930486982178424, 3.6723966487890083]"
"[-0.33121055023826645, 0.48046094305685105, 4.0816245068167945, 4.228540659261023]","[0.8667409746648591, 0.026348824708642526, 12.850768816848774, 12.880425341376867]","[1.1706973725667256, -1.7375757495165662, 4.834591683510296, 5.270117852825835]","[-1.7062277969933297, 1.230765981751082, 7.264434621461202, 7.620916146536226]"
"[0.7053337049404382, 1.3468902757631778, 14.963836482783702, 15.070114985617824]","[0.6639802584238351, -1.915290855430532, 4.183501434464336, 4.649952334121454]","[-0.7593675513305297, 0.1714082870575516, 8.092667365265159, 8.130710213546998]","[-0.6099464120337436, 0.39699229260980706, 1.7914143461238794, 2.149222466713688]"
"[0.6372012535874332, 0.3948825855479895, 1.554693511230954, 1.9645314845504744]","[0.4750779585737225, -0.6116721719253406, 2.1751962008305266, 2.3113814132898973]","[-1.572704645362098, 1.7002534003716196, 19.699711883795864, 19.835676783123656]","[0.4604254332009558, -1.4834638139942822, 5.601818032779709, 5.888410319035918]"
"[1.7616512874679782, -0.705261324358461, 5.628160938372181, 6.013098925552104]","[0.4493484956747305, 1.3557231313391063, 2.81385257208052, 3.1573452756677107]","[-0.7193343453072948, -1.0996624709433758, 7.604386772830304, 7.717808060200801]","[-1.4916654378354146, 0.4492006639627312, 12.985019345354107, 13.111747738579387]"
"[1.0975114545535467, 0.7767468620741398, 10.474191565747153, 10.601740912820453]","[-0.07770705352390432, -1.0920717033670724, 4.265044591956417, 4.404591692291477]","[0.14953631374417345, 2.1530087336677113, 6.850365810449228, 7.183069195428466]","[-1.1693407147738153, -1.8376838923747703, 7.441817660484308, 7.810598199459601]"
"[0.7512165523152167, 0.26187678025919564, 3.1645944695868327, 3.395278819100848]","[-1.6251543425923887, 0.11772661005212559, 19.519695744376993, 19.58787052637357]","[0.7887454561469227, -1.018981300188743, 5.347896858589946, 5.501963895538301]","[0.08519233413028943, 0.6393779098774652, 0.999232556083065, 1.5148867589869992]"
"[-1.1694791089318184, -0.732513366779018, 3.3192388232757537, 3.715098643463307]","[0.8770251609648322, -0.4595033537610136, 0.9611768359051513, 1.3839584487720895]","[1.064194721487231, 1.0296003458847425, 12.107845566598106, 12.198511186003016]","[-0.7717407735202406, 0.16241637465529052, 12.643158402858106, 12.702431721761599]"
"[-1.6824819058700817, 0.3582760935709332, 7.251794517291541, 7.511856307851496]","[1.1413663004446382, -2.351014997675318, 14.27137605705671, 14.50907739058485]","[-0.36207307654776255, 0.5898153991383084, 1.2278585907004196, 1.4134282611941318]","[0.9031886819732113, 1.4029235049660649, 6.280390463588469, 6.565638040369553]"
"[-0.02724447429056013, -1.3655687374193857, 11.192163076311765, 11.314167618995974]","[0.30229714656736884, 2.0036971306862745, 10.012043086243164, 10.215593772762148]","[0.32666880730022696, 0.20680512222722722, -0.10606744929979514, 0.41460195972442726]","[-0.6017214795770354, -0.844933515494114, 7.933280915381976, 8.055636648517453]"
"[0.5911921651601854, -1.0117779155549944, 8.273908323311549, 8.408990189975235]","[-1.3165029414023466, 1.02265702901897, 4.786470860452107, 5.06956352210366]","[-0.08662184844416954, -1.8095174008943824, 4.651741153603844, 4.993166925095041]","[0.8119326246863288, 1.7986382874304059, 11.31929929126961, 11.528279362826062]"
"[-1.3358949196260785, 0.44692362133433783, 5.174866982790196, 5.444626579954356]","[-0.4475146385881027, 0.3931975275384923, 5.7020550158392025, 5.7340621433704415]","[1.296298408582285, -2.1620497525890943, 5.463850472915463, 6.0182783501684325]","[0.48711114963189717, 1.3219286037162619, 12.69064715709225, 12.803032926506772]"
"[0.5277105636635373, -1.4312071618926696, 2.6102250645096943, 3.165511271917003]","[-0.26879874318321983, 1.6798702722810928, 14.281982980942338, 14.383338220904118]","[0.6312273319886469, -0.7877196479244433, 2.3176047059266764, 2.530099874367253]","[-0.8901391524689599, 0.5390565375360306, 9.821606877258446, 9.921050632811674]"
"[-0.14818274793674127, -0.9149057448841381, 3.111099122306052, 3.379097918617565]","[-1.2402771932971848, -1.045850487079644, 12.505336016805066, 12.610578228761115]","[0.27338679800476917, 1.640107543745871, 11.298707043266168, 11.420886023373667]","[1.1150731432291598, 0.3206486882179094, 2.11627744625984, 2.589437829247669]"
"[1.7746902006396057, -0.7279714800590008, 9.737015325127025, 9.968414596703333]","[-1.4972509466086403, 0.973737505465059, 5.934143878180944, 6.197995829829685]","[0.8020424754892393, -0.8640323649289849, 1.7105471207510214, 2.0801344008037774]","[-1.0794817295202042, 0.6182663395229268, 11.649713304578112, 11.753455172663198]"
"[0.8547834578417333, 0.4454458350881462, 10.46273259571264, 10.548848490103978]","[0.6656130403149279, -0.5076881566891357, 6.291619779269512, 6.347946994402131]","[-0.7199454199407116, -0.750285314137456, 0.37587042834455486, 1.110716729041148]","[-0.8004510782159497, 0.812527635738445, 11.9011968253104, 11.992487786452738]"
"[0.14074585112849294, 0.9924253024904683, 6.319501451199124, 6.46692897079634]","[-1.8770818289144344, -2.1859561496975184, 7.010770284161904, 7.580494975335895]","[-0.0014316044507347025, 0.7998147847095709, 4.345331590617204, 4.419590024505799]","[1.7377675822366694, 0.39371606249747393, 11.355816302658887, 11.532986029361977]"
"[0.36640984553893946, 0.12000362665899714, 3.7051067982548975, 3.8414616720433172]","[1.3791774696553256, -0.20475205051452994, 1.1623491547999327, 1.818315997186102]","[-0.9337222566566141, 0.6098639223361061, 4.78093978159395, 4.910429723001308]","[-0.8118650585376507, -0.5251154984805729, 19.383023893988327, 19.429792607769265]"
"[-0.6628717857800811, -0.6074451683446777, 7.152058858780089, 7.269160123588372]","[0.33585472568421537, 2.113077847453489, 10.559854723864023, 10.774952055032097]","[1.3911020920192707, -0.10951032788701931, 2.0971384578958276, 2.5211725182708147]","[-1.0640850319234083, -1.3961223512217957, 9.222367588097148, 9.434715303108693]"
"[0.3390596006715004, 0.9148027885500718, 2.7293413595676967, 3.0465528319360136]","[0.9840620149351266, -0.5695093361431753, 13.7113994740087, 13.758864709052213]","[-1.5509757437201928, -1.5963202208630423, 8.996494953794292, 9.26832504133054]","[0.22785412811356487, 1.251026768456144, 3.5941838412664437, 3.9262574176812475]"
"[1.3716376625853173, -0.6438211416145296, 2.472543268124146, 3.0479042141350794]","[-0.08236067848494932, -1.0665580767023881, 8.77682696242896, 8.842408300554977]","[-1.2679489985979475, 2.027513752174926, 13.813595048504533, 14.019453571924155]","[-0.021327985502373095, -0.31713453385804186, 3.9684543495793108, 4.090233913385625]"
"[1.1998714530288561, -0.5032088099820731, 7.225467003144101, 7.401394353076004]","[-0.8338836535559799, 2.608161794629167, 9.928090764648672, 10.299321324179441]","[-0.24934055282170836, -0.6348711815392638, 8.180776223630247, 8.209841372554553]","[-0.11664724665117404, -1.4700818031078189, 3.697085637214138, 4.089442950190049]"
"[-0.2771697529407872, 0.6251469838876565, 3.3711766206350315, 3.5655038882196335]","[-1.7381175264648852, -0.4711005456680386, 6.2043211939506495, 6.461250138371239]","[0.7632766585045349, -1.7219034427018198, 13.25579043566699, 13.389349738157215]","[1.252010620901128, 1.567857004482182, 6.200131378384517, 6.583896235251991]"
"[0.47824340320842046, 0.04928586219481095, 2.181438640144128, 2.4228443482036806]","[-1.128705339294007, 1.1333442406118923, 19.590921249162708, 19.656393461531486]","[0.46692893470559294, -1.2054845411144468, 6.675726383297722, 6.800566297489679]","[0.1835330013799828, 0.022854438307742572, 0.583333356032365, 1.1201958927749596]"
"[1.5756504945181684, 0.6087906614523235, 10.425830926846034, 10.603377075795716]","[-1.0844287913297845, 0.06137837552904757, 1.9540367018163307, 2.2381188872481297]","[1.5966454422722172, -0.35043119180243254, 9.574404606065807, 9.713519746319296]","[-2.0878671454606113, -0.31973784517893317, 7.077147393908934, 7.444984290636851]"
"[0.19894180575227396, 0.4292479548665631, 4.019693222681518, 4.154770703575448]","[-0.12061780667600513, -0.5904993888765008, 10.804721293513449, 10.822033266767285]","[-1.1960808638252445, -1.7355652314525383, 3.821711052624246, 4.365711292349756]","[1.1177568647489773, 1.896816665462479, 10.385294059817852, 10.657484737307469]"
