p1_xyzE,pmup_xyzE,pmum_xyzE,p3_xyzE
"[-0.37256227353194005, 0.9005362805805102, 1.3760740141814232, 1.9296896845841411]","[-1.3795030508537414, 0.48163628591646873, 14.969852416245667, 15.041364537712873]","[0.5700299020493382, -0.9938098030662402, 2.895670684922244, 3.115872966342338]","[1.182035422336366, -0.38836276343072385, 9.78982251328777, 9.913072811360639]"
"[0.9927543017650635, 0.1550559905588326, 10.029468547143543, 10.123250325266428]","[-1.569248952934697, -0.015074203150145182, 14.83270447344318, 14.915865885604918]","[-0.8212531251146594, -0.21580869827939908, 0.7057388463076367, 1.1091713221659116]","[1.3977477762842998, 0.0758269108707123, 3.4635077617427186, 3.8517124669627085]"
"[-0.3678847282884899, 0.562588956868417, 5.227305741206902, 5.3532163384022535]","[0.11146923559452451, -0.46130495109317515, 8.261599208196968, 8.27589347069136]","[0.5792096491236474, -1.804427360252917, 2.297999805467933, 2.9805047617747413]","[-0.32279415642968345, 1.7031433544776795, 13.244514873765288, 13.390385429131626]"
"[1.3442104067679288, 0.15558405523705676, 4.247553455819595, 4.555565027736536]","[0.5248710724075215, -0.4159750231660314, 0.8520491262760072, 1.0888875924997539]","[-0.3053408771781134, 1.665516113684182, 16.190905188784278, 16.279550098862785]","[-1.5637406019973414, -1.405125145755234, 7.740911857757216, 8.075997280900914]"
"[0.17675433524045958, -0.646645134004823, 2.4453684813417067, 2.703622270192686]","[0.818127941652145, 1.6851780979824185, 13.089792929694584, 13.223577470037291]","[-1.6104832920149172, 0.7820243811957774, 5.014018182780712, 5.325106620234325]","[0.6156010151223068, -1.8205573451733554, 8.482240034820165, 8.747693639535752]"
"[-0.31274864904184496, -0.0436502285850268, 19.626947475188043, 19.65189910923897]","[1.1733839675304327, 0.8172293907450439, 3.075601553815728, 3.3934027675996097]","[-0.9625544718658607, -1.4347260545085068, 3.790187473760056, 4.166729492300424]","[0.10191915337727307, 0.6611468923484897, 2.538683125873284, 2.787968630860999]"
"[-1.2660426382975225, 1.8687098662360797, 7.213806746669726, 7.616712062986041]","[-0.8876032813247163, -1.2290075404968186, 5.342257252172021, 5.554203388512615]","[2.1644507129857105, -0.9004949002181477, 13.376877796013126, 13.58115463194114]","[-0.0108047933634602, 0.2607925744788677, 3.098477833782231, 3.247929916560203]"
"[0.2586259602923394, -0.4535286065270361, 6.455965962187762, 6.544648686918684]","[-1.047588978624187, -0.6557256663096525, 15.167824383112471, 15.218458494456572]","[0.6280228104930307, -1.0540346991384626, 2.3003212943610603, 2.609222770815558]","[0.16094020783881802, 2.163288971975156, 5.107307988975837, 5.627670047809211]"
"[-1.6233653211728218, 0.9241258434945655, 8.005035639667755, 8.27346804423248]","[1.5701547619029248, -0.17792692960348802, 3.820147827421787, 4.1354246462635444]","[-0.04786819726600282, 0.3348443416077909, 14.691284405501262, 14.695557600639209]","[0.101078756535885, -1.0810432554988698, 2.5149517560463, 2.8955497088647615]"
"[0.0474219062046728, 1.623010254980161, 4.536269381385139, 4.90861542305314]","[-0.09569405118700794, -0.623435289698058, 19.212574573185627, 19.223215502486994]","[-0.9237847443698171, -0.717914047607696, 2.367171726812807, 2.6426207504802495]","[0.9720568893521538, -0.28166091767440576, 2.915403947253498, 3.2255483239795755]"
"[-0.4274403991309083, -0.6545301283096886, 6.391459927160163, 6.507090696321397]","[-0.24929438783708902, 0.700992698532462, 0.12044582506324758, 0.7610579905250705]","[1.4548019575809703, 0.39100895839535876, 7.142355730547261, 7.300256552750193]","[-0.7780671706129728, -0.4374715286181319, 15.377158145866442, 15.43159476040334]"
